seed,iteration,value,blackbox,task,optimizer,dtm
0,0,0.0385018102824688,NAS,m4-Daily,GCP + prior,0.0005823849332019362
0,1,0.02700212597846985,NAS,m4-Daily,GCP + prior,0.0003632267273894018
0,2,0.03161430358886719,NAS,m4-Daily,GCP + prior,0.0003632267273894018
0,3,0.02314773947000504,NAS,m4-Daily,GCP + prior,0.0002897707603060759
0,4,0.02145757339894772,NAS,m4-Daily,GCP + prior,0.00025755998356941946
0,5,,NAS,m4-Daily,GCP + prior,0.00025755998356941946
0,6,,NAS,m4-Daily,GCP + prior,0.00025755998356941946
0,7,,NAS,m4-Daily,GCP + prior,0.00025755998356941946
0,8,,NAS,m4-Daily,GCP + prior,0.00025755998356941946
0,9,,NAS,m4-Daily,GCP + prior,0.00025755998356941946
1,0,0.032732419669628136,NAS,m4-Daily,GCP + prior,0.0004724332804507257
1,1,0.022869490087032318,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,2,0.048664137721061713,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,3,0.02675456926226616,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,4,0.03266200050711632,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,5,,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,6,,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,7,,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,8,,NAS,m4-Daily,GCP + prior,0.0002844679507742055
1,9,,NAS,m4-Daily,GCP + prior,0.0002844679507742055
